record_id,Hierarchy,Status,Name,Slug,Parent,Count,Description,Taxonomy,"Full hierarchy","Old Platform ID",View,Icon,"Listings Full Count","Custom Landing Page (optional)","Icon Option","Icon 2",Color,"Text Color","Seopress Redirections Type",Image,"Seopress Redirections Logged Status","Listing Type(s)"
3220,2,active,"Patent Attorney",patent-attorney,"Lawyers & Attorneys",7,,job_listing_category,"Legal Services > Lawyers & Attorneys > Patent Attorney",,https://visita.co.za/category/patent-attorney/,,"{""businesses-services"":7}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3205,2,active,"Personal Injury Attorney",personal-injury-attorney,"Lawyers & Attorneys",26,,job_listing_category,"Legal Services > Lawyers & Attorneys > Personal Injury Attorney",,https://visita.co.za/category/personal-injury-attorney/,,"{""businesses-services"":26}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3193,2,active,"Real Estate Attorney",real-estate-attorney,"Lawyers & Attorneys",62,,job_listing_category,"Legal Services > Lawyers & Attorneys > Real Estate Attorney",,https://visita.co.za/category/real-estate-attorney/,,"{""businesses-services"":62}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,https://visita.co.za/wp-content/uploads/2024/07/Real-estate-attorney.jpg?wpId=181367,both,"Businesses & Services, All Businesses & Spaces"
3217,2,active,"Tax Attorney",tax-attorney,"Lawyers & Attorneys",17,,job_listing_category,"Legal Services > Lawyers & Attorneys > Tax Attorney",,https://visita.co.za/category/tax-attorney/,,"{""businesses-services"":17}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3206,2,active,"Trial Attorney",trial-attorney,"Lawyers & Attorneys",29,,job_listing_category,"Legal Services > Lawyers & Attorneys > Trial Attorney",,https://visita.co.za/category/trial-attorney/,,"{""businesses-services"":29}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
3230,1,active,"Legal Aid Office",legal-aid-office,"Legal Services",9,,job_listing_category,"Legal Services > Legal Aid Office",,https://visita.co.za/category/legal-aid-office/,,"{""businesses-services"":9}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
3201,1,active,"Notary Public",notary-public,"Legal Services",67,,job_listing_category,"Legal Services > Notary Public",,https://visita.co.za/category/notary-public/,,"{""businesses-services"":67}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Notary-public.jpg?wpId=181306,,"Businesses & Services, All Businesses & Spaces"
17956,0,active,Library,library,0,20,,job_listing_category,Library,,https://visita.co.za/category/library/,,"{""community-spaces"":20}",,icon,,,,,,,
7677,0,active,"License Bureau",license-bureau,0,24,,job_listing_category,"License Bureau",,https://visita.co.za/category/license-bureau/,,"{""businesses-services"":24}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
14881,0,active,"Lifestyle Estates",lifestyle-estates,0,0,,job_listing_category,"Lifestyle Estates",,https://visita.co.za/category/lifestyle-estates/,,"{""community-spaces"":1}",,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
14882,1,active,"Golf Estates",golf-estates,"Lifestyle Estates",1,,job_listing_category,"Lifestyle Estates > Golf Estates",,https://visita.co.za/category/golf-estates/,,"{""community-spaces"":1}",,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
14884,1,active,"Retirement Estates",retirement-estates,"Lifestyle Estates",0,,job_listing_category,"Lifestyle Estates > Retirement Estates",,https://visita.co.za/category/retirement-estates/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
14883,1,active,"Urban Estates",urban-estates,"Lifestyle Estates",0,,job_listing_category,"Lifestyle Estates > Urban Estates",,https://visita.co.za/category/urban-estates/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
1885,0,active,"Linens Store",linens-store,0,47,,job_listing_category,"Linens Store",,https://visita.co.za/category/linens-store/,,"{""businesses-services"":47}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Linens-store.jpg?wpId=181276,,"Businesses & Services, All Businesses & Spaces"
17251,0,active,"Liquor store",liquor-store,0,0,,job_listing_category,"Liquor store",,https://visita.co.za/category/liquor-store/,,,,icon,,,,,,,"Businesses & Services, All Businesses & Spaces"
18020,0,active,"Little league field",little-league-field,0,1,,job_listing_category,"Little league field",,https://visita.co.za/category/little-league-field/,,"{""community-spaces"":1}",,icon,,,,,,,
17996,0,active,"Livestock dealer",livestock-dealer-2,0,1,,job_listing_category,"Livestock dealer",,https://visita.co.za/category/livestock-dealer-2/,,"{""businesses-services"":1}",,icon,,,,,,,
459,0,active,"Loan Agency",loan-agency,0,293,,job_listing_category,"Loan Agency",,https://visita.co.za/category/loan-agency/,https://visita.co.za/wp-content/uploads/2023/05/1scxwvoqkaw.jpg?wpId=53072,"{""businesses-services"":293}",,icon,"fa fa-money-bill-alt",#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2023/05/loan-agency1.jpg?wpId=53009,,"Businesses & Services, All Businesses & Spaces"
17967,0,active,"Local government office",local-government-office-2,0,7,,job_listing_category,"Local government office",,https://visita.co.za/category/local-government-office-2/,,"{""community-spaces"":7}",,icon,,,,,,,
17412,0,active,"Local Municipality",local-municipality,0,192,,job_listing_category,"Local Municipality",,https://visita.co.za/category/local-municipality/,https://visita.co.za/wp-content/uploads/2025/05/building-education-school-winter-snow-svgrepo-com.svg?wpId=221409,"{""municipality"":192}",,image,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,Municipalities
6706,0,active,"Lock Store",lock-store,0,15,,job_listing_category,"Lock Store",,https://visita.co.za/category/lock-store/,,"{""businesses-services"":15}",,icon,,#ffffff,#4c5270,https://visita.co.za/wp-content/uploads/2023/05/94e9a69060f497-2.jpg?wpId=301,,both,"Businesses & Services, All Businesses & Spaces"
18045,0,active,Lodge,lodge-2,0,3,,job_listing_category,Lodge,,https://visita.co.za/category/lodge-2/,,"{""businesses-services"":3}",,icon,,,,,,,
304,0,active,Lodging,lodging,0,394,,job_listing_category,Lodging,,https://visita.co.za/category/lodging/,,"{""businesses-services"":393,""community-spaces"":1}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2023/05/11601c6e-d71e-4a9b-aa49-2348177a9071.jpg?wpId=53069,,"Businesses & Services, All Businesses & Spaces"
13072,0,active,"Logistics & Freight",logistics-freight,0,0,,job_listing_category,"Logistics & Freight",,https://visita.co.za/category/logistics-freight/,,"{""businesses-services"":221,""community-spaces"":2}",,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
5535,1,active,"Courier Service",courier-service,"Logistics & Freight",82,,job_listing_category,"Logistics & Freight > Courier Service",,https://visita.co.za/category/courier-service/,,"{""businesses-services"":82}",,icon,,#ffffff,#4c5270,,https://visita.co.za/wp-content/uploads/2024/07/Courier-service.jpg?wpId=181156,,"Businesses & Services, All Businesses & Spaces"
13182,1,active,"Freight Forwarding Service",freight-forwarding-service,"Logistics & Freight",0,,job_listing_category,"Logistics & Freight > Freight Forwarding Service",,https://visita.co.za/category/freight-forwarding-service/,,,,icon,,#ffffff,#4c5270,,,,"Businesses & Services, All Businesses & Spaces"
