record_id,Name,Slug,Description,Full hierarchy,Icon,Image,parent_id_for_import,listing_type_corrected
13620,Ice Skating Rink,ice-skating-rink,,Sports Facilities > Ice Skating Rink,,,13149,Businesses & Services
1055,Rock Climbing Gym,rock-climbing-gym,,Sports Facilities > Rock Climbing Gym,,,13149,Businesses & Services
13621,Roller Skating Rink,roller-skating-rink,,Sports Facilities > Roller Skating Rink,,,13149,Businesses & Services
5338,Skateboard Park,skateboard-park,,Sports Facilities > Skateboard Park,,,13149,Businesses & Services
1045,Sports Complex,sports-complex,,Sports Facilities > Sports Complex,,https://visita.co.za/wp-content/uploads/2024/06/Sports-complex.jpg?wpId=181016,13149,Businesses & Services
6064,Squash Court,squash-court,,Sports Facilities > Squash Court,,,13149,Businesses & Services
5925,Stadium,stadium,,Sports Facilities > Stadium,,https://visita.co.za/wp-content/uploads/2024/07/Stadium.jpg?wpId=181406,13149,Businesses & Services
835,Swimming Pool,swimming-pool,,Sports Facilities > Swimming Pool,,https://visita.co.za/wp-content/uploads/2024/07/Swimming-pool.jpg?wpId=181415,13149,Businesses & Services
6062,Indoor Swimming Pool,indoor-swimming-pool,,Sports Facilities > Swimming Pool > Indoor Swimming Pool,,,835,Businesses & Services
5832,Outdoor Swimming Pool,outdoor-swimming-pool,,Sports Facilities > Swimming Pool > Outdoor Swimming Pool,,,835,Businesses & Services
5753,Public Swimming Pool,public-swimming-pool,,Sports Facilities > Swimming Pool > Public Swimming Pool,,,835,Businesses & Services
5332,Tennis Court,tennis-court,,Sports Facilities > Tennis Court,,,13149,Businesses & Services
6012,Sports Medicine Clinic,sports-medicine-clinic,,Sports Medicine Clinic,,,0,Businesses & Services
6013,Sports Medicine Physician,sports-medicine-physician,,Sports Medicine Physician,,,0,Businesses & Services
5079,Sports Nutrition Store,sports-nutrition-store,,Sports Nutrition Store,,,0,Businesses & Services
902,Sports School,sports-school,,Sports School,,,0,Businesses & Services
1080,Sportswear Store,sportswear-store,,Sportswear Store,,https://visita.co.za/wp-content/uploads/2024/06/Sportswear-store.jpg?wpId=181017,0,Businesses & Services
17877,Stadium,stadium-2,,Stadium,,,0,Businesses & Services
6312,State Government Office,state-government-office,,State Government Office,,,0,Businesses & Services
7273,State Park,state-park,,State Park,,,0,Businesses & Services
981,Stationery Store,stationery-store,,Stationery Store,,https://visita.co.za/wp-content/uploads/2023/05/vk620qncuko.jpg?wpId=53010,0,Businesses & Services
2578,Steak House,steak-house,,Steak House,,https://visita.co.za/wp-content/uploads/2023/05/gsna_1wezym.jpg?wpId=52975,0,Businesses & Services
3032,Steel Distributor,steel-distributor,,Steel Distributor,,https://visita.co.za/wp-content/uploads/2024/07/Steel-distributor.jpg?wpId=181408,0,Businesses & Services
17246,Store,store,,Store,,,0,Businesses & Services
15976,Structural Engineering & Services,structural-engineering-services,,Structural Engineering & Services,,,0,Businesses & Services
15984,Retrofitting & Rehabilitation,retrofitting-rehabilitation,,Structural Engineering & Services > Retrofitting & Rehabilitation,,,15976,Businesses & Services
15985,Building Reinforcement,building-reinforcement,,Structural Engineering & Services > Retrofitting & Rehabilitation > Building Reinforcement,,,15984,Businesses & Services
15986,Historical Building Preservation,historical-building-preservation,,Structural Engineering & Services > Retrofitting & Rehabilitation > Historical Building Preservation,,,15984,Businesses & Services
15987,Structural Upgrades,structural-upgrades,,Structural Engineering & Services > Retrofitting & Rehabilitation > Structural Upgrades,,,15984,Businesses & Services
15977,Structural Design & Analysis,structural-design-analysis,,Structural Engineering & Services > Structural Design & Analysis,,,15976,Businesses & Services
15978,Load-Bearing Calculations,load-bearing-calculations,,Structural Engineering & Services > Structural Design & Analysis > Load-Bearing Calculations,,,15977,Businesses & Services
